bird_name,item_taxon,diet_percentage
Barrow's Goldeneye,Mytiloida,3.2117391304347827
Barrow's Goldeneye,Odonata nymph [dragonflies and damselflies],5.952608695652174
Barrow's Goldeneye,"Salmoniformes [salmons, trouts, and whitefishes]",1.8008695652173914
Barrow's Goldeneye,"Salmoniformes egg [salmons, trouts, and whitefishes]",3.758695652173913
Barrow's Goldeneye,Trichoptera larva [caddisflies],19.907391304347826
Barrow's Goldeneye,Unid. Animalia,15.252173913043482
Barrow's Goldeneye,Unid. Bivalvia,2.5739130434782607
Barrow's Goldeneye,Unid. Gastropoda,3.5595652173913046
Barrow's Goldeneye,Unid. Insecta,7.290000000000001
Barrow's Goldeneye,Unid. Plantae,1.1917391304347826
Barrow's Goldeneye,Unid. Tracheophyta,14.368260869565216
Hooded Merganser,Decapoda [decapods],6.85
Hooded Merganser,Perciformes [perch-like fishes],3.96
Hooded Merganser,"Salmoniformes [salmons, trouts, and whitefishes]",51.54
Hooded Merganser,Unid. Amphibia,1.2
Hooded Merganser,Unid. Arthropoda,2
Hooded Merganser,Unid. Chordata,13.322
Hooded Merganser,Unid. Insecta,2.6
Hooded Merganser,Unid. Teleostei,17.532
Common Merganser,Clupeiformes [herrings],31.06
Common Merganser,"Cypriniformes [minnows, suckers, carps, and loaches]",17.835
Common Merganser,Decapoda [decapods],1.465
Common Merganser,Gasterosteiformes [sticklebacks and seamoths],2.846666666666667
Common Merganser,Perciformes [perch-like fishes],17.981666666666666
Common Merganser,"Salmoniformes [salmons, trouts, and whitefishes]",26.425
Common Merganser,Unid. Chordata,1.9966666666666664
Red-breasted Merganser,Anguilliformes [true eels],3.15
Red-breasted Merganser,Clupeiformes [herrings],42.55
Red-breasted Merganser,"Cypriniformes [minnows, suckers, carps, and loaches]",4.675
Red-breasted Merganser,Gasterosteiformes [sticklebacks and seamoths],1.55
Red-breasted Merganser,Perciformes [perch-like fishes],5.875
Red-breasted Merganser,"Salmoniformes [salmons, trouts, and whitefishes]",8.799999999999999
Red-breasted Merganser,"Salmoniformes juvenile [salmons, trouts, and whitefishes]",33.25
Ruddy Duck,Amphipoda [amphipods],1.181818181818182
Ruddy Duck,Diptera [flies],4.818181818181818
Ruddy Duck,Diptera larva [flies],32.10909090909091
Ruddy Duck,"Hemiptera [true bugs, hoppers, aphids, and allies]",10.009090909090908
Ruddy Duck,Unid. Animalia,14.8
Ruddy Duck,Unid. Annelida,2.1818181818181817
Ruddy Duck,Unid. Magnoliopsida,4.536363636363636
Ruddy Duck,Unid. Tracheophyta,27.090909090909086
Ring-necked Pheasant,"Caryophyllales [pinks, cactuses, and allies]",1.032424242424243
Ring-necked Pheasant,"Fabales [legumes, milkworts, and allies]",3.3930303030303035
Ring-necked Pheasant,"Poales [grasses, sedges, and allies]",61.59484212121213
Ring-necked Pheasant,Unid. Animalia,1.377212121212121
Ring-necked Pheasant,Unid. Gastropoda,1.072151515151515
Ring-necked Pheasant,Unid. Insecta,2.9508052121212125
Ring-necked Pheasant,Unid. Magnoliopsida,7.997716272727271
Ring-necked Pheasant,Unid. Tracheophyta,20.409333333333336
Ruffed Grouse,"Asterales [asters, bellflowers, fanflowers, and allies]",1.9309523809523812
Ruffed Grouse,"Dipsacales [honeysuckles, moschatels, and allies]",2.828095238095238
Ruffed Grouse,"Ericales [heathers, balsams, primroses, and allies]",4.7509523809523815
Ruffed Grouse,"Fabales [legumes, milkworts, and allies]",3.740714285714285
Ruffed Grouse,"Fagales [beeches, oaks, walnuts, and allies]",10.304285714285715
Ruffed Grouse,"Liliales [lilies, supplejacks, and allies]",3.0690476190476192
Ruffed Grouse,"Malpighiales [nances, willows, and allies]",17.241666666666667
Ruffed Grouse,"Poales [grasses, sedges, and allies]",1.7402380952380954
Ruffed Grouse,Polypodiales,1.7523809523809522
